City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dong Hoi,VN,2022-01-06 04:54:26,17.4833,106.6,75.63,80,96,6.17
1,Katherine,AU,2022-01-06 04:54:27,-14.4667,132.2667,93.52,52,40,11.5
2,Mitu,CO,2022-01-06 04:54:27,1.1983,-70.1733,74.21,75,98,1.48
3,Namatanai,PG,2022-01-06 04:54:28,-3.6667,152.4333,81.05,82,91,9.24
4,Ponta Delgada,PT,2022-01-06 04:54:29,37.7333,-25.6667,61.52,94,75,9.22
5,Cidreira,BR,2022-01-06 04:54:30,-30.1811,-50.2056,71.04,65,95,12.93
6,Ushuaia,AR,2022-01-06 04:49:46,-54.8,-68.3,40.75,87,65,4.94
7,Peniche,PT,2022-01-06 04:54:31,39.3558,-9.3811,50.74,90,96,18.68
8,Durango,MX,2022-01-06 04:50:05,24.8333,-104.8333,53.13,25,0,5.5
9,Vanimo,PG,2022-01-06 04:54:32,-2.6741,141.3028,84.33,72,96,12.24
10,Mount Isa,AU,2022-01-06 04:54:33,-20.7333,139.5,98.37,9,2,12.66
11,Bluff,NZ,2022-01-06 04:54:34,-46.6,168.3333,55.8,59,93,13.71
12,Vaini,TO,2022-01-06 04:54:35,-21.2,-175.2,84.36,89,75,10.36
13,Nishihara,JP,2022-01-06 04:54:36,26.1842,127.7558,69.46,73,90,13.8
14,Tuktoyaktuk,CA,2022-01-06 04:54:36,69.4541,-133.0374,6.8,85,90,29.93
15,Airai,TL,2022-01-06 04:54:37,-8.9266,125.4092,70.14,75,99,2.62
16,Beira,MZ,2022-01-06 04:54:38,-19.8436,34.8389,78.89,94,75,1.99
17,Kaitangata,NZ,2022-01-06 04:54:39,-46.2817,169.8464,54.93,66,49,14.79
18,Iqaluit,CA,2022-01-06 04:54:39,63.7506,-68.5145,-4.27,77,90,26.46
19,Hithadhoo,MV,2022-01-06 04:54:40,-0.6,73.0833,82.4,74,80,11.63
20,Taksimo,RU,2022-01-06 04:54:42,56.3444,114.8794,-2.13,94,100,1.83
21,Fuzhou,CN,2022-01-06 04:54:42,26.0614,119.3061,58.89,83,100,5.28
22,Qaanaaq,GL,2022-01-06 04:54:43,77.484,-69.3632,-1.07,55,0,8.01
23,Mataura,NZ,2022-01-06 04:54:44,-46.1927,168.8643,55.47,55,96,7.02
24,Upernavik,GL,2022-01-06 04:54:45,72.7868,-56.1549,8.29,89,100,5.35
25,Ancud,CL,2022-01-06 04:54:46,-41.8697,-73.8203,52.43,91,40,0.29
26,Albany,US,2022-01-06 04:52:45,42.6001,-73.9662,39.81,87,100,1.99
27,Puerto Ayora,EC,2022-01-06 04:54:47,-0.7393,-90.3518,70.93,88,43,7.11
28,Catalina,US,2022-01-06 04:54:48,32.5056,-110.9211,53.08,45,0,1.01
29,Dikson,RU,2022-01-06 04:54:49,73.5069,80.5464,-10.19,94,100,9.28
30,Thio,NC,2022-01-06 04:54:50,-21.6167,166.2167,75.16,93,100,9.42
31,Thompson,CA,2022-01-06 04:54:51,55.7435,-97.8558,-18.24,69,90,12.66
32,Turukhansk,RU,2022-01-06 04:54:52,65.8167,87.9833,-14.19,91,100,8.14
33,Dingle,PH,2022-01-06 04:54:53,10.9995,122.6711,79.93,74,92,11.14
34,Madimba,TZ,2022-01-06 04:54:54,-10.4,40.3333,78.12,94,40,9.22
35,Pandan,PH,2022-01-06 04:54:55,14.0453,124.1694,81.05,59,59,8.99
36,Bud,US,2022-01-06 04:54:55,39.447,-86.1758,19.45,72,57,15.19
37,East London,ZA,2022-01-06 04:54:45,-33.0153,27.9116,67.14,94,90,4.61
38,Aguimes,ES,2022-01-06 04:54:57,27.9054,-15.4461,61.43,63,75,18.41
39,Maumere,ID,2022-01-06 04:54:58,-8.6199,122.2111,82.38,75,87,3.36
40,Bathsheba,BB,2022-01-06 04:54:58,13.2167,-59.5167,77.61,78,40,12.66
41,Hermanus,ZA,2022-01-06 04:54:59,-34.4187,19.2345,66.79,81,23,13.13
42,Arraial Do Cabo,BR,2022-01-06 04:55:00,-22.9661,-42.0278,74.16,95,100,18.43
43,Labuhan,ID,2022-01-06 04:55:01,-6.8844,112.2051,85.33,67,74,4.9
44,Wanning,CN,2022-01-06 04:55:01,18.8003,110.3967,76.33,66,14,9.62
45,Sosnovo-Ozerskoye,RU,2022-01-06 04:56:03,52.5249,111.5418,2.93,88,64,3.47
46,Bone,DE,2022-01-06 04:56:04,51.9669,12.1396,35.91,80,76,11.18
47,Ambilobe,MG,2022-01-06 04:56:05,-13.2,49.05,81.0,77,96,1.7
48,Elizabeth City,US,2022-01-06 04:56:05,36.2946,-76.2511,49.01,97,90,5.99
49,Avarua,CK,2022-01-06 04:56:06,-21.2078,-159.775,82.45,74,69,2.3
50,Saskylakh,RU,2022-01-06 04:56:07,71.9167,114.0833,-13.5,93,100,17.09
51,Karaton,ID,2022-01-06 04:56:08,-6.3424,106.1045,92.95,53,77,4.9
52,Bonavista,CA,2022-01-06 04:56:09,48.6499,-53.1147,38.12,85,100,27.94
53,Punta Arenas,CL,2022-01-06 04:52:13,-53.15,-70.9167,50.11,81,0,5.75
54,Waipawa,NZ,2022-01-06 04:56:10,-41.4122,175.5153,58.46,76,100,13.11
55,Emba,KZ,2022-01-06 04:56:11,48.8264,58.1442,22.01,96,99,7.11
56,Provideniya,RU,2022-01-06 04:56:14,64.3833,-173.3,18.88,43,33,6.73
57,Half Moon Bay,US,2022-01-06 04:51:46,37.4636,-122.4286,57.79,93,20,9.22
58,Mountain Home,US,2022-01-06 04:51:29,43.133,-115.6912,33.8,100,90,8.05
59,Cape Town,ZA,2022-01-06 04:56:17,-33.9258,18.4232,65.12,74,0,3.44
60,Yarega,RU,2022-01-06 04:56:18,63.4354,53.5765,-0.89,90,100,8.93
61,Shingu,JP,2022-01-06 04:56:19,33.7333,135.9833,43.92,95,100,4.94
62,Souillac,MU,2022-01-06 04:56:20,-20.5167,57.5167,82.36,83,75,4.61
63,Rikitea,PF,2022-01-06 04:56:22,-23.1203,-134.9692,77.77,69,100,8.16
64,Barrow,US,2022-01-06 04:56:22,71.2906,-156.7887,-3.44,91,81,8.25
65,Yellowknife,CA,2022-01-06 04:56:23,62.456,-114.3525,-29.7,68,20,6.91
66,Menongue,AO,2022-01-06 04:56:25,-14.6585,17.691,63.82,93,100,3.42
67,Praia,CV,2022-01-06 04:56:26,14.9215,-23.5087,72.14,83,0,17.27
68,Hobart,AU,2022-01-06 04:56:17,-42.8794,147.3294,63.23,89,90,6.91
69,Cockburn Town,TC,2022-01-06 04:56:27,21.4612,-71.1419,78.84,71,2,15.43
70,Hilo,US,2022-01-06 04:56:28,19.7297,-155.09,76.73,86,75,5.75
71,Muros,ES,2022-01-06 04:56:28,42.7762,-9.0603,49.98,96,88,4.07
72,Tasiilaq,GL,2022-01-06 04:56:29,65.6145,-37.6368,31.91,89,100,34.85
73,Kruisfontein,ZA,2022-01-06 04:56:30,-34.0033,24.7314,64.89,75,70,12.77
74,Butaritari,KI,2022-01-06 04:56:31,3.0707,172.7902,82.15,76,98,14.72
75,Cherskiy,RU,2022-01-06 04:56:32,68.75,161.3,-14.35,100,100,1.3
76,Ayr,GB,2022-01-06 04:56:33,55.4627,-4.6339,38.5,80,75,8.05
